region_code,account,tier,arr_usd,renewal_date,account_owner,status,order_form_ref,notes,last_edited,edited_by
WE-ENT,SLG-West,Enterprise,210000,2026-08-15,Marcus Ohene,Active,,West region. Enterprise renewal Q3.,2026-02-16 13:30,j.park (RevOps)
MI-GRW,Beacon Health Partners,Growth,88000,2026-08-30,Sara Lindqvist,Active,,,2025-07-08 9:11,n.oduya (RevOps)
SO-ENT,Beacon Healthcare Systems,Enterprise,175000,2027-01-20,Diego Marin,Active,,,2025-09-30 10:12,j.park (RevOps)
EA-GRW,Nova Materials Inc.,Growth,95000,2026-08-03,Marcus Ohene,Active,,,2025-11-14 11:13,j.park (RevOps)
WE-ENT,Nova Material Sciences LLC,Enterprise,340000,2026-11-05,Diego Marin,Active,,,2025-12-09 12:14,n.oduya (RevOps)
MI-GRW,Crestview Financial Group,Growth,0,,Sara Lindqvist,Churned,,Churned Mar 2024.,2024-03-20 09:00,j.park (RevOps)
WE-ENT,Crestview Capital Advisors,Enterprise,150000,2026-04-16,Sara Lindqvist,Active,,,2026-01-27 14:16,j.park (RevOps)
SO-GRW,Atlas Freight Solutions,Growth,78000,2026-03-10,Marcus Ohene,Active,,,2026-02-05 15:17,n.oduya (RevOps)
SO-GRW,Atlas Freight Logistics,Growth,82000,2026-03-28,Marcus Ohene,Active,,,2026-02-19 16:18,j.park (RevOps)
WE-GRW,Brightpath Consulting,Growth,64000,2026-10-01,Sara Lindqvist,Active,,,2026-03-03 8:19,j.park (RevOps)
WE-GRW,Brightpath Digital,Growth,71000,2027-02-11,Diego Marin,Active,,,2025-05-19 9:20,n.oduya (RevOps)
MI-ENT,Cobalt Ridge Manufacturing,Enterprise,184000,2026-06-30,Sara Lindqvist,Active,CRM-CBR-2026-0311,Renewal term updated per countersigned order form (amendment supersedes original Sep-30 term).,2026-03-11 09:42,n.oduya (RevOps)
MI-GRW,Prairie Point Retail Co.,Growth,96000,2026-05-31,Marcus Ohene,Active,,Renewal due May 2026. Full-price quote on file.,2026-02-02 14:05,j.park (RevOps)
NO-ENT,Quantum Peak Insurance,Enterprise,365000,2026-09-30,Diego Marin,Active,,"Recurring ARR only. $45k professional-services add-on booked separately, non-recurring.",2026-01-31 16:20,n.oduya (RevOps)
NO-ENT,Thornbury & Cole Insurance Group,Enterprise,195000,2026-11-08,Sara Lindqvist,Active,,Reassigned from Jordan Ellis to Sara Lindqvist (Jordan departed). See #account-handoffs.,2025-10-22 11:15,j.park (RevOps)
WE-GRW,Grantline Media Group,Growth,110000,,Diego Marin,Churned,,Non-renewal confirmed by customer 2026-01-14. Contract ends 2026-01-31. Do not forecast.,2026-01-15 10:03,j.park (RevOps)
WE-ENT,Redwood Cloud Systems,Enterprise,220000,2026-07-09,Sara Lindqvist,Active,,,2026-01-27 15:26,n.oduya (RevOps)
EA-GRW,Harbor Point Financial,Growth,88000,2026-11-12,Diego Marin,Active,,,2026-02-05 16:27,j.park (RevOps)
MI-GRW,Summit Trail Outfitters,Growth,54000,2027-01-15,Marcus Ohene,Active,,,2026-02-19 8:28,j.park (RevOps)
SO-GRW,Blue Delta Foods,Growth,67000,2026-08-21,Sara Lindqvist,Active,,,2026-03-03 9:29,n.oduya (RevOps)
SO-ENT,Ironwood Construction Co,Enterprise,160000,2026-05-02,Diego Marin,Active,,,2025-05-19 10:30,j.park (RevOps)
NO-GRW,Meadowlark Health,Growth,92000,2026-12-01,Marcus Ohene,Active,,,2025-07-08 11:31,j.park (RevOps)
WE-GRW,"Cedar Vale Software, LLC",Growth,73000,2027-02-03,Sara Lindqvist,Active,,,2025-09-30 12:32,n.oduya (RevOps)
EA-ENT,Pinnacle Robotics,Enterprise,145000,2026-06-18,Diego Marin,Active,,,2025-11-14 13:33,j.park (RevOps)
MI-GRW,Lakeside Hospitality Group,Growth,59000,2027-04-07,Marcus Ohene,Active,,,2025-12-09 14:34,j.park (RevOps)
SO-ENT,Granite Peak Energy,Enterprise,205000,2026-03-25,Sara Lindqvist,Active,,,2026-01-08 15:35,n.oduya (RevOps)
SO-ENT,Willowbrook Pharma,Enterprise,188000,2026-10-14,Diego Marin,Active,,,2026-01-27 16:36,j.park (RevOps)
NO-GRW,Copper Canyon Retail,Growth,61000,2027-05-06,Marcus Ohene,Active,,,2026-02-05 8:37,j.park (RevOps)
WE-GRW,Stonebridge Advisory,Growth,70000,2026-09-11,Sara Lindqvist,Active,,,2026-02-19 9:38,n.oduya (RevOps)
EA-GRW,Northwind Freight,Growth,84000,2027-06-19,Diego Marin,Active,,,2026-03-03 10:39,j.park (RevOps)
MI-GRW,Verdant Agriculture,Growth,76000,2026-11-28,Marcus Ohene,Active,,,2025-05-19 11:40,j.park (RevOps)
SO-GRW,Sable Point Media,Growth,58000,2027-03-02,Sara Lindqvist,Active,,,2025-07-08 12:41,n.oduya (RevOps)
SO-ENT,Terra Nova Analytics,Enterprise,132000,2026-04-30,Diego Marin,Active,,,2025-09-30 13:42,j.park (RevOps)
NO-ENT,Kingfisher Payments Inc,Enterprise,167000,2026-08-05,Marcus Ohene,Active,,,2025-11-14 14:43,j.park (RevOps)
WE-GRW,Alderwood Insurance,Growth,90000,2027-07-22,Sara Lindqvist,Active,,,2025-12-09 15:44,n.oduya (RevOps)
EA-GRW,Bright Harbor Logistics,Growth,79000,2026-12-16,Diego Marin,Active,,,2026-01-08 16:45,j.park (RevOps)
