deal_id,account_id,account_name,deal_name,deal_owner,amount_usd,deal_stage,deal_type,product,create_date,close_date
DEAL-5001,ACC-1001,"Silverline Logistics Group, Inc.","Silverline Logistics Group, Inc. — New Business",Marcus Ohene,210000,Closed Won,New Business,Meridian Pulse — Enterprise,2023-05-12,2023-05-12
DEAL-5002,ACC-1002,Beacon Health Partners,Beacon Health Partners — New Business,Sara Lindqvist,88000,Closed Won,New Business,Meridian Pulse — Enterprise,2024-02-14,2024-02-14
DEAL-5003,ACC-1003,Beacon Healthcare Systems,Beacon Healthcare Systems — New Business,Diego Marin,175000,Closed Won,New Business,Meridian Pulse — Enterprise,2025-01-20,2025-01-20
DEAL-5004,ACC-1004,Nova Materials Inc.,Nova Materials Inc. — New Business,Marcus Ohene,95000,Closed Won,New Business,Meridian Pulse — Enterprise,2022-08-03,2022-08-03
DEAL-5005,ACC-1005,Nova Material Sciences LLC,Nova Material Sciences LLC — New Business,Diego Marin,340000,Closed Won,New Business,Meridian Pulse — Enterprise,2025-11-05,2025-11-05
DEAL-5006,ACC-1006,Crestview Financial Group,Crestview Financial Group — New Business,Sara Lindqvist,120000,Closed Won,New Business,Meridian Pulse — Enterprise,2021-03-19,2021-03-19
DEAL-5007,ACC-1007,Crestview Capital Advisors,Crestview Capital Advisors — New Business,Sara Lindqvist,150000,Closed Won,New Business,Meridian Pulse — Enterprise,2024-04-16,2024-04-16
DEAL-5008,ACC-1008,Atlas Freight Solutions,Atlas Freight Solutions — New Business,Marcus Ohene,78000,Closed Won,New Business,Meridian Pulse — Enterprise,2025-03-10,2025-03-10
DEAL-5009,ACC-1009,Atlas Freight Logistics,Atlas Freight Logistics — New Business,Marcus Ohene,82000,Closed Won,New Business,Meridian Pulse — Enterprise,2025-03-28,2025-03-28
DEAL-5010,ACC-1010,Brightpath Consulting,Brightpath Consulting — New Business,Sara Lindqvist,64000,Closed Won,New Business,Meridian Pulse — Enterprise,2024-10-01,2024-10-01
DEAL-5011,ACC-1011,Brightpath Digital,Brightpath Digital — New Business,Diego Marin,71000,Closed Won,New Business,Meridian Pulse — Enterprise,2025-02-11,2025-02-11
