record_a,record_b,same_entity,difficulty,note
"Silverline Logistics Group, Inc. [CRM]",SLG-West [Renewals Tracker],yes,hard,"Silverline identity cluster (one entity, four names)"
"Silverline Logistics Group, Inc. [CRM]",silverlinelogistics.io [Email domain],yes,hard,"Silverline identity cluster (one entity, four names)"
"Silverline Logistics Group, Inc. [CRM]",Silverline Logistics [Email signature],yes,medium,"Silverline identity cluster (one entity, four names)"
"Silverline Logistics Group, Inc. [CRM]",Silverline [Gong transcript],yes,medium,"Silverline identity cluster (one entity, four names)"
"Silverline Logistics Group, Inc. [CRM]",SLG [Gong transcript],yes,hard,"Silverline identity cluster (one entity, four names)"
SLG-West [Renewals Tracker],silverlinelogistics.io [Email domain],yes,hard,"Silverline identity cluster (one entity, four names)"
SLG-West [Renewals Tracker],Silverline Logistics [Email signature],yes,hard,"Silverline identity cluster (one entity, four names)"
SLG-West [Renewals Tracker],Silverline [Gong transcript],yes,hard,"Silverline identity cluster (one entity, four names)"
SLG-West [Renewals Tracker],SLG [Gong transcript],yes,hard,"Silverline identity cluster (one entity, four names)"
silverlinelogistics.io [Email domain],Silverline Logistics [Email signature],yes,hard,"Silverline identity cluster (one entity, four names)"
silverlinelogistics.io [Email domain],Silverline [Gong transcript],yes,hard,"Silverline identity cluster (one entity, four names)"
silverlinelogistics.io [Email domain],SLG [Gong transcript],yes,hard,"Silverline identity cluster (one entity, four names)"
Silverline Logistics [Email signature],Silverline [Gong transcript],yes,medium,"Silverline identity cluster (one entity, four names)"
Silverline Logistics [Email signature],SLG [Gong transcript],yes,hard,"Silverline identity cluster (one entity, four names)"
Silverline [Gong transcript],SLG [Gong transcript],yes,hard,"Silverline identity cluster (one entity, four names)"
Meridian Pulse [Marketing/Sales],Project Fathom [Notion/Slack/Jira],yes,hard,Core platform naming drift (all the same product)
Meridian Pulse [Marketing/Sales],SKU-10045-ENT [Billing],yes,hard,Core platform naming drift (all the same product)
Meridian Pulse [Marketing/Sales],Pulse Enterprise v3 [Billing line item],yes,medium,Core platform naming drift (all the same product)
Meridian Pulse [Marketing/Sales],Pulse Enterprise [Zendesk tag],yes,medium,Core platform naming drift (all the same product)
Meridian Pulse [Marketing/Sales],Enterprise [Zendesk tag],yes,hard,Core platform naming drift (all the same product)
Project Fathom [Notion/Slack/Jira],SKU-10045-ENT [Billing],yes,hard,Core platform naming drift (all the same product)
Project Fathom [Notion/Slack/Jira],Pulse Enterprise v3 [Billing line item],yes,hard,Core platform naming drift (all the same product)
Project Fathom [Notion/Slack/Jira],Pulse Enterprise [Zendesk tag],yes,hard,Core platform naming drift (all the same product)
Project Fathom [Notion/Slack/Jira],Enterprise [Zendesk tag],yes,hard,Core platform naming drift (all the same product)
SKU-10045-ENT [Billing],Pulse Enterprise v3 [Billing line item],yes,hard,Core platform naming drift (all the same product)
SKU-10045-ENT [Billing],Pulse Enterprise [Zendesk tag],yes,hard,Core platform naming drift (all the same product)
SKU-10045-ENT [Billing],Enterprise [Zendesk tag],yes,hard,Core platform naming drift (all the same product)
Pulse Enterprise v3 [Billing line item],Pulse Enterprise [Zendesk tag],yes,medium,Core platform naming drift (all the same product)
Pulse Enterprise v3 [Billing line item],Enterprise [Zendesk tag],yes,hard,Core platform naming drift (all the same product)
Pulse Enterprise [Zendesk tag],Enterprise [Zendesk tag],yes,hard,Core platform naming drift (all the same product)
Meridian Insights Add-on [Marketing],Project Lighthouse [Engineering],yes,hard,Insights add-on naming drift (same module; 'beta' label is stale)
Meridian Insights Add-on [Marketing],SKU-20087-ADD [Billing],yes,hard,Insights add-on naming drift (same module; 'beta' label is stale)
Meridian Insights Add-on [Marketing],Insights Module (beta) [Slack/eng docs],yes,hard,Insights add-on naming drift (same module; 'beta' label is stale)
Meridian Insights Add-on [Marketing],Insights Module [Zendesk],yes,hard,Insights add-on naming drift (same module; 'beta' label is stale)
Project Lighthouse [Engineering],SKU-20087-ADD [Billing],yes,hard,Insights add-on naming drift (same module; 'beta' label is stale)
Project Lighthouse [Engineering],Insights Module (beta) [Slack/eng docs],yes,hard,Insights add-on naming drift (same module; 'beta' label is stale)
Project Lighthouse [Engineering],Insights Module [Zendesk],yes,hard,Insights add-on naming drift (same module; 'beta' label is stale)
SKU-20087-ADD [Billing],Insights Module (beta) [Slack/eng docs],yes,hard,Insights add-on naming drift (same module; 'beta' label is stale)
SKU-20087-ADD [Billing],Insights Module [Zendesk],yes,hard,Insights add-on naming drift (same module; 'beta' label is stale)
Insights Module (beta) [Slack/eng docs],Insights Module [Zendesk],yes,hard,Insights add-on naming drift (same module; 'beta' label is stale)
Elizabeth Munro <elizabeth.munro@beaconhealthpartners.com> [CRM],Liz Munro <elizabeth.munro@beaconhealthpartners.com> [Zendesk],yes,medium,"Same person, same email — contrast case vs the company-level near-misses"
"Elizabeth Munro, Director of Analytics [CRM]",Liz Munro [Support ticket],yes,medium,Same person
Ironwood Construction Co. [CRM],Ironwood Construction Co [Renewals Tracker],yes,easy,Trivial punctuation difference — NOT a real conflict
Cedar Vale Software LLC [CRM],"Cedar Vale Software, LLC [Renewals Tracker]",yes,easy,Trivial comma difference — NOT a real conflict
"Kingfisher Payments, Inc. [CRM]",Kingfisher Payments Inc [Renewals Tracker],yes,easy,Trivial punctuation difference — NOT a real conflict
"Silverline Logistics Group, Inc. [CRM]",silverlinelogistics.io [Email domain],yes,easy,Account name vs its verified domain
Beacon Health Partners [CRM],beaconhealthpartners.com [Email domain],yes,easy,Account name vs its verified domain
Beacon Healthcare Systems [CRM],beaconhealthcaresystems.com [Email domain],yes,easy,Account name vs its verified domain
Nova Materials Inc. [CRM],novamaterials.com [Email domain],yes,easy,Account name vs its verified domain
Nova Material Sciences LLC [CRM],novamaterialsciences.com [Email domain],yes,easy,Account name vs its verified domain
Crestview Financial Group [CRM],crestviewfinancial.com [Email domain],yes,easy,Account name vs its verified domain
